,SECUCODE,SECURITY_CODE,TYPE,SECURITY_NAME_ABBR,CLOSE_PRICE,INDUSTRY,REGION,WEIGHT,EPS,BPS,ROE,TOTAL_SHARES,FREE_SHARES,FREE_CAP,f2,f3
199,300782.SZ,300782,1,卓胜微,80.43,电子设备,无锡市,0.12,-0.2757,18.742,-1.46,5.35,4.48,360.53,80.43,0.54
200,300760.SZ,300760,1,迈瑞医疗,239.6,医药生物,深圳市,0.61,4.184,32.2,13.26,12.12,12.12,2904.92,239.6,-0.58
201,300759.SZ,300759,1,康龙化成,35.9,医药生物,北京市,0.12,0.3984,8.0227,4.97,17.78,14.19,509.56,35.9,6.37
202,300750.SZ,300750,1,宁德时代,354.7,电气设备,宁德市,3.57,6.92,64.6859,11.63,45.6,42.53,15084.24,354.7,9.14
203,300661.SZ,300661,1,圣邦股份,87.42,电子设备,北京市,0.13,0.3258,7.6356,4.32,6.18,5.93,518.15,87.42,20.0
204,300628.SZ,300628,1,亿联网络,37.85,信息技术,厦门市,0.08,0.9808,6.7906,13.33,12.67,7.26,274.61,37.85,-0.53
205,300502.SZ,300502,1,新易盛,350.3,信息技术,成都市,1.48,3.97,12.1876,38.12,9.94,8.85,3101.53,350.3,-2.15
206,300498.SZ,300498,1,温氏股份,20.06,农林牧渔,云浮市,0.43,0.5252,6.2094,8.26,66.54,59.63,1196.12,20.06,2.92
207,300442.SZ,300442,1,润泽科技,53.2,信息技术,廊坊市,0.15,0.51,6.2011,8.47,16.34,16.28,866.29,53.2,-2.31
208,300433.SZ,300433,1,蓝思科技,30.37,电子设备,长沙市,0.24,0.23,9.5895,2.35,52.84,49.66,1508.19,30.37,2.98
209,300418.SZ,300418,1,昆仑万维,41.87,互联网,北京市,0.15,-0.69,11.0522,-6.19,12.55,12.54,525.26,41.87,1.14
210,300413.SZ,300413,1,芒果超媒,31.91,互联网,长沙市,0.09,0.41,12.2299,3.35,18.71,10.22,326.02,31.91,8.87
211,300408.SZ,300408,1,三环集团,41.4,电子设备,潮州市,0.24,0.65,10.5828,6.04,19.16,18.7,774.1,41.4,-2.77
212,300394.SZ,300394,1,天孚通信,181.05,电子设备,苏州市,0.36,1.158,6.0291,20.13,7.77,7.76,1404.68,181.05,-2.48
213,300347.SZ,300347,1,泰格医药,61.77,医药生物,杭州市,0.13,0.45,23.8372,1.86,8.61,5.66,349.75,61.77,1.25
214,300316.SZ,300316,1,晶盛机电,38.07,电气设备,绍兴市,0.1,0.49,13.0951,3.79,13.1,12.32,468.85,38.07,8.49
215,300308.SZ,300308,1,中际旭创,408.02,信息技术,烟台市,1.56,3.64,20.5364,18.84,11.11,11.06,4510.66,408.02,-3.33
216,300274.SZ,300274,1,阳光电源,136.67,电气设备,合肥市,0.81,3.73,20.5171,19.18,20.73,15.9,2172.66,136.67,2.05
217,300124.SZ,300124,1,汇川技术,80.15,机械设备,深圳市,0.63,1.1,11.2176,10.06,26.97,23.63,1894.12,80.15,0.59
218,300122.SZ,300122,1,智飞生物,21.9,医药生物,重庆市,0.11,-0.2494,12.63,-1.96,23.94,14.14,309.73,21.9,-0.68
219,300059.SZ,300059,1,东方财富,27.21,互联网,上海市,1.42,0.3526,5.4152,6.69,158.04,133.76,3639.71,27.21,0.96
220,300033.SZ,300033,1,同花顺,370.88,互联网,杭州市,0.33,0.93,12.754,6.77,5.38,2.76,1021.8,370.88,1.58
221,300015.SZ,300015,1,爱尔眼科,12.91,医药生物,长沙市,0.25,0.2219,2.3241,9.46,93.25,79.31,1023.89,12.91,0.16
222,300014.SZ,300014,1,亿纬锂能,73.92,电气设备,惠州市,0.38,0.78,18.8271,4.2,20.46,18.61,1375.97,73.92,0.15
223,003816.SZ,003816,1,中国广核,3.73,公用事业,深圳市,0.12,0.118,2.3901,4.88,504.99,393.35,1467.19,3.73,0.27
224,002938.SZ,002938,1,鹏鼎控股,54.3,电子设备,深圳市,0.16,0.53,13.4741,3.76,23.18,23.07,1252.58,54.3,-2.6
225,002920.SZ,002920,1,德赛西威,127.64,交运设备,惠州市,0.14,2.21,17.3651,12.68,5.55,5.53,706.02,127.64,6.69
226,002916.SZ,002916,1,深南电路,187.85,电子设备,深圳市,0.22,2.04,22.8239,9.04,6.67,6.65,1249.24,187.85,-3.85
227,002736.SZ,002736,1,国信证券,13.95,金融,深圳市,0.18,0.49,9.2412,5.26,102.42,96.12,1340.93,13.95,-0.92
228,002714.SZ,002714,1,牧原股份,58.77,农林牧渔,南阳市,0.65,1.96,14.1732,13.79,54.63,38.11,2239.49,58.77,2.14
229,002709.SZ,002709,1,天赐材料,30.84,有色金属,广州市,0.16,0.14,6.7358,2.04,19.14,13.85,427.1,30.84,9.99
230,002648.SZ,002648,1,卫星化学,19.67,基础化工,嘉兴市,0.14,0.81,9.2366,8.61,33.69,33.66,662.19,19.67,-1.26
